rank,company,email,subject,status,message_id,error
"1","Care4Careers","info@care4careers.nl","Vraag over jullie CV-begeleiding","sent","<300314b0-f634-9766-0170-2d594c31d50c@werkcv.nl>",""
"2","MEPD","info@mepd.nl","Vraag over jullie CV-begeleiding","sent","<83984da8-b327-c05a-acb6-68a223b7da55@werkcv.nl>",""
"3","RondomWerk","info@rondomwerk.nl","Vraag over jullie CV-begeleiding","sent","<867a24e2-8d75-b000-4691-01695c6d59e7@werkcv.nl>",""
"5","Wende Werkt","info@wende.nl","Vraag over jullie CV-begeleiding","sent","<bf26dd0f-bbe2-d356-9c16-34c370f55841@werkcv.nl>",""
"6","Carriere Switch","info@carriereswitch.nl","Vraag over jullie CV-begeleiding","sent","<91a14e98-a95e-723e-f4e0-a2702356ad59@werkcv.nl>",""
"7","Vitae Company","info@vitaecompany.nl","Vraag over jullie CV-begeleiding","sent","<c8cec70f-d538-b871-8083-d93924d2914f@werkcv.nl>",""
"8","50+ Carriere","lepoole@50pluscarriere.nl","Vraag over jullie CV-begeleiding","sent","<2fb1195c-1b8c-593f-72bb-cd8a5b94651d@werkcv.nl>",""
"9","CareerSolution","info@careersolution.nl","Vraag over jullie CV-begeleiding","sent","<1cec8d94-0639-4287-0f53-aba24a9c7470@werkcv.nl>",""
"10","LeerWerkburo","info@leerwerkburo.nl","Vraag over jullie CV-begeleiding","sent","<60eb3140-4a9a-c8ba-2355-2ba9000e23f2@werkcv.nl>",""
"11","Amplooi","info@amplooi.nl","Vraag over jullie CV-begeleiding","sent","<370964c0-998e-620f-22ee-45ba4c6014d9@werkcv.nl>",""
