"Keyword","Trends","Impressions"
"cv maken online","[19,15,14,19,12,19,13,19]","130"
"cv maken voorbeeld","[19,16,16,26,25,16,23,20,21,24]","206"
"cv maken gratis downloaden","[25,30,29,24,23,25,32,22,25,23,45,33,36]","372"
"cv maken canva","[52,70,62,63,58,52,62,57,69,49,62,55,50]","761"
"canva cv maken","[50,52,71,60,78,96,52,97,112,105,126,91,152]","1142"
"cv.nl","[139,123,111,119,111,116,104,111,106,110,120,95,113]","1478"
"gratis cv maken","[165,184,182,175,222,190,215,197,166,166,179,161,196]","2398"
"curriculum vitae","[273,319,285,248,210,256,264,238,249,217,226,192,240]","3217"
"cv maken gratis","[480,412,402,404,284,356,334,323,331,278,320,274,338]","4536"
"cv maker","[386,482,478,440,366,460,449,421,459,461,425,320,427]","5574"
